student_interest,student_country,student_language,student_target_degree,student_current_degree,student_gpa,student_lang_level,student_ielts,student_budget,student_study_mode,student_needs_scholarship,program_category,program_country,program_degree,program_tuition,program_language,program_study_mode,program_min_gpa,program_min_lang,program_min_ielts,program_scholarship,gpa_diff,budget_diff,lang_diff,ielts_diff,country_match,field_match,field_proximity,degree_compatible,study_mode_match,scholarship_match,match_score
ARTIFICIAL_INTELLIGENCE,ANY,English,MBA,BACHELOR,10.2,3,5.1,3000,ON_CAMPUS,0,BUSINESS,Spain,CERTIFICATE,4900,English,ON_CAMPUS,0.0,3,5.0,0,0.0,-1900,0,0.1,1,0,0.0,1,1,0,0.5334
COMPUTER_SCIENCE,ANY,ANY,MBA,PHD,12.7,4,6.1,5000,ON_CAMPUS,1,ENGINEERING,Spain,CERTIFICATE,2500,English,BLENDED,0.0,4,6.0,0,0.0,2500,0,0.1,1,0,0.5,1,0,0,0.6516
ARTIFICIAL_INTELLIGENCE,France,English,CERTIFICATE,HIGH_SCHOOL,0.0,3,5.2,5000,BLENDED,0,ARTS,Italy,DIPLOMA,16900,English,ON_CAMPUS,0.0,4,5.5,0,0.0,-11900,-1,-0.3,0,0,0.0,1,0,0,0.3548
FINANCE,France,English,BACHELOR,HIGH_SCHOOL,0.0,4,5.6,6000,ON_CAMPUS,1,COMPUTER_SCIENCE,Latvia,MASTER,7800,English,DISTANCE,10.0,3,6.0,0,0.0,-1800,1,-0.4,0,0,0.0,0,0,0,0.023582262018586805
PSYCHOLOGY,Poland,French,DIPLOMA,MASTER,10.8,4,6.0,7000,ON_CAMPUS,1,LAW,Germany,PHD,7600,English,ON_CAMPUS,14.0,5,5.0,1,-3.2,-600,-1,1.0,0,0,0.0,1,1,1,0.3444
COMMUNICATION,Germany,French,BACHELOR,HIGH_SCHOOL,0.0,3,4.9,10000,DISTANCE,0,MEDICINE,Spain,MBA,7900,French,ON_CAMPUS,12.0,4,6.5,0,0.0,2100,-1,-1.6,0,0,0.0,0,0,0,0.028938407183679432
LAW,ANY,English,MASTER,HIGH_SCHOOL,0.0,3,4.9,8000,ON_CAMPUS,0,DESIGN,Spain,MASTER,4100,English,DISTANCE,10.0,3,7.0,0,0.0,3900,0,-2.1,1,0,0.0,0,0,0,0.0
DATA_SCIENCE,Italy,English,MASTER_OF_SCIENCE,HIGH_SCHOOL,0.0,1,3.0,6000,BLENDED,0,OTHER,Netherlands,MASTER,3100,French,ON_CAMPUS,11.0,4,7.0,0,0.0,2900,-3,-4.0,0,0,0.0,0,0,0,0.0653727119711481
ARTIFICIAL_INTELLIGENCE,ANY,English,MASTER,HIGH_SCHOOL,0.0,3,5.2,7000,ON_CAMPUS,0,ARTS,Latvia,BACHELOR,4600,French,BLENDED,0.0,4,5.5,0,0.0,2400,-1,-0.3,1,0,0.0,1,0,0,0.4686
BUSINESS,Germany,English,DIPLOMA,HIGH_SCHOOL,0.0,6,8.2,6000,DISTANCE,0,BUSINESS,Poland,MASTER,9200,French,DISTANCE,11.0,4,6.5,0,0.0,-3200,2,1.7,0,1,1.0,0,1,0,0.0
DESIGN,Turkey,English,BACHELOR,MASTER,15.9,6,7.7,6000,ON_CAMPUS,1,HOSPITALITY,Spain,MASTER,4800,English,ON_CAMPUS,12.0,4,5.5,0,3.9,1200,2,2.2,0,0,0.0,0,1,0,0.017181787727945784
FINANCE,Poland,English,BACHELOR,PHD,15.3,5,7.0,5000,BLENDED,1,MARKETING,Turkey,BACHELOR,3400,French,BLENDED,0.0,4,7.0,0,0.0,1600,1,0.0,0,0,0.3,0,1,0,0.11356658636689974
ARCHITECTURE,Italy,ANY,MBA,PHD,16.9,3,4.7,5000,ON_CAMPUS,1,ENGINEERING,France,MASTER_OF_SCIENCE,6600,French,BLENDED,13.0,3,6.5,0,3.9,-1600,0,-1.8,0,0,0.4,0,0,0,0.03209308005311742
ARTIFICIAL_INTELLIGENCE,Italy,German,MASTER_OF_SCIENCE,HIGH_SCHOOL,0.0,4,6.1,10000,BLENDED,0,ENGINEERING,Poland,DIPLOMA,9800,English,ON_CAMPUS,0.0,3,6.0,0,0.0,200,1,0.1,0,0,0.5,1,0,0,0.5129
PSYCHOLOGY,Italy,ANY,MASTER,HIGH_SCHOOL,0.0,3,4.9,4000,BLENDED,1,ARCHITECTURE,Italy,MASTER,3400,English,ON_CAMPUS,12.0,3,6.0,0,0.0,600,0,-1.1,1,0,0.0,0,0,0,0.08266851790902098
